Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount
18 déc. 2024,HEXALEAN GROUPE,"France |, Auvergne-Rhône-Alpes","Sous-traitance industrielle, tôlerie, mécano soudure et traitement de surface.",42,2023,Produits & Services industriels,"ORIGINE PARTNERS, BPIFRANCE INVESTISSEMENT, GARIBALDI PARTICIPATIONS, BNP PARIBAS DEVELOPPEMENT",MANAGER(S),50-150 M€,OBO bis,20-50
18 déc. 2024,EVERGAZ,"France |, Île-de-France","Greentech du biogaz, méthanisation",7.70,2023,Environnement & CleanTechs,"MERIDIAM, SWEN CAPITAL PARTNERS",n/a,n.d.,Augmentation de capital,N/A
18 déc. 2024,ASCENTIEL GROUPE,"France |, Île-de-France",Courtier en assurance,60,2023,N/A,"COBEPA, AMUNDI PRIVATE EQUITY F...","IK PARTNERS (EX-IK INVE...
                                                    
                            ,                                                            
                                
                                                                                                                    ISAI
                                                    
                            ,                                                            
                                                                        MANAGER(S)",250-500 M€,LBO Ter,250-500
18 déc. 2024,MAISON DUPREZ (EX TRADITION DU NORD),"France |, Hauts-de-France",Société regroupant plusieurs entreprises spécialisées dans la biscuiterie et la confiserie,40,2022,N/A,"UNIGRAINS, FINORPA GIE, SOCIETE GENERALE CAPITA...",n/a,20-50 M€,Augmentation de capital,0-20
18 déc. 2024,USUAL LABS,"France |, Île-de-France",Développement d'un protocole de stablecoin décentralisé pour déployer une cryptomonnaie offrant des rendements générés par des actifs réels,,N/A,N/A,"BINANCE LABS, KRAKEN VENTURES, GALAXY DIGITAL, COINBASE VENTURES, IOSG VENTURES, OKX VENTURES, WINTERMUTE VENTURE, FASANARA CAPITAL, SYMBOLIC CAPITAL, GSR VENTURES, PSALION VC, HYPERSPHERE VENTURE, AVID3, FUNFAIR VENTURES, LEADBLOCK PARTNERS, PHAEDRUS, JPEG TRADING, WHITE LOOP CAPITAL, KRYPITAL GROUP, ECHO, AMBER GROUP",n/a,0-20 M€,1er tour,N/A
18 déc. 2024,ATELIERS BIO DE PROVENCE (COQUELI...,"France |, Région Sud - Provence-A",Production de pâtes fraîches et surgelées biologiques.,6.70,2023,N/A,ESFIN GESTION,COMPAGNIE LÉA NATURE (L...,0-5 M€,Cession de titres,0-5
18 déc. 2024,"GROUPE CARSEY (CHAPSOL, SOTUBEMA ...","France |, Île-de-France","Solutions en béton préfabriqué pour les infrastructures, l’environnement et l’énergie.",22,2023,"Immobilier & construction, bâtiment","PENINSULAR CAPITAL, HOLDING CARSEY",n/a,10-15 M€,Augmentation de capital,N/A
18 déc. 2024,IMMO D'HEM,"France |, Hauts-de-France","Agence immobilière proposant des services de gestion locative, administration de syndics de copropriété, et vente de biens immobiliers",1,2023,"Immobilier & construction, bâtiment",SQUARE HABITAT,MANAGER(S),0-5 M€,M&A Corporate,0-5
18 déc. 2024,SMARTOWER,"France |, Île-de-France","Société de conseil, déploiement et gestion des infrastructures télécoms (GSM, GSM-R, FTTH, data center, FM et TNT) : recherche, négociation et conception de sites, ingénierie radio, relation avec les bailleurs et conduite des travaux",5,2024,"Média, Marketing/Communication et Télécom",MITEM FRANCE,FONDATEUR(S),2 M€,Prise de participation,N/A
17 déc. 2024,AMECA,"France |, Auvergne-Rhône-Alpes","Conception, production et distribution de fixations mécaniques (filets rapportés et inserts filetés)",5.20,2023,Produits & Services industriels,"ELIGE CAPITAL, EXIMIUM","EXIMIUM
                                                    
                            ,                                                            
                                
                                                                                                                    CRÉDIT AGRICOLE ALPES D...
                                                    
                            ,                                                            
                                
                                                                                                                    RHONE DAUPHINE DEVELOPP...",n.d.,LBO Bis,n.d.
