Date,Target Name,Target Tags,Target Description,Revenue,Revenue Year,Sector,Buyers,Sellers,Valorisation,Operation Type,Transaction Amount,FM et TNT),"connu sous le nom de port de Citranusa Kabil.
- PT Citra Pembina Pengangkutan Industries (CPPI) est un fournisseur de services logistiques complets dans les services suivants","d’alimentation en eau potable (AEP) et de réseaux fibrés
2LTP",financement avec annuaire des professionnels de la maison.- GUIDE-Piscine.fr,principalement auprès des organismes publics,c'est 16 marques,spécialisé dans la mobilité urbaine,Uniques - Activité occasion,"l'architecture ;
- The Good Life (créé en 2011)",développé sur quatre verticales,(PB WEALTH MANAGER),spécialisée dans les domaines de la santé,le streetwear)
29 mai 2024,(RE)SET,France |,Spécialiste de la stratégie économique et environnementale,7,2023.0,Services & Conseil aux entreprises,JULHIET STERWEN,FONDATEUR(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
28 mai 2024,ESTATE PRESTIGE I KNIGHT FRANK,France |,Agence immobilière de luxe spécialisée dans les résidences haut de gamme,8,2022.0,Immobilier & construction,GLOBALITY,FONDATEUR(S),5-10 M€,M&A Corporate,0-20,,,,,,,,,,,,,
28 mai 2024,FACON CUIR,France |,Atelier de fabrication de maroquinerie et sellerie,nan,nan,Textile,ARION SELLIER,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
28 mai 2024,GREENYELLOW,France |,Solutions B2B de réduction des dépenses énergétiques (production d'énergie photovoltaïques,300,2023.0,nan,ARDIAN (INFRASTRUCTURE),GROUPE CASINO,>1000 M€,Cession de titres,150-250,,,,,,,,,,,,,
28 mai 2024,RIVRS,France |,Studio de jeux vidéos spécialisé dans l'UGC (User Generated Content),nan,nan,Logiciel et services informatiques,PLEIADE VENTURE,nan,7.90 M€,1er tour,nan,,,,,,,,,,,,,
28 mai 2024,TAFALGIE THERAPEUTICS,France |,Biotech spécialisée dans la recherche d'un médicament non opioïde contre la douleur,nan,nan,nan,nan,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
28 mai 2024,SUPERVIZOR,France |,Éditeur d'un logiciel de détection d'erreurs dans les fichiers d'écritures comptables à destination des directions financières,nan,nan,Logiciel et services informatiques,ORANGE VENTURES,ODYSSEE VENTURE,20-50 M€,2e tour,nan,,,,,,,,,,,,,
28 mai 2024,ACTIVITÉS B2C DE SIMPLYCURE (COMP...,Belgique |,Compléments alimentaires personnalisés,nan,nan,Internet & ecommerce,CUURE,SIMPLYCURE,0-20 M€,Carve-out,0-20,,,,,,,,,,,,,
28 mai 2024,ALVAREZ SOLAIRE,France |,Pose et maintenance de panneaux photovoltaïques,nan,nan,nan,TSG,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
28 mai 2024,SUPERVIZOR,France |,Éditeur d'un logiciel de détection d'erreurs dans les fichiers d'écritures comptables à destination des directions financières,nan,nan,Logiciel et services informatiques,ORANGE VENTURES,ODYSSEE VENTURE,20-50 M€,2e tour,nan,,,,,,,,,,,,,
28 mai 2024,ALVAREZ SOLAIRE,France |,Pose et maintenance de panneaux photovoltaïques,nan,nan,nan,TSG,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
28 mai 2024,RIVRS,France |,Studio de jeux vidéos spécialisé dans l'UGC (User Generated Content),nan,nan,Logiciel et services informatiques,PLEIADE VENTURE,nan,7.90 M€,1er tour,nan,,,,,,,,,,,,,
28 mai 2024,PREWAVE,Autriche |,Plateforme d'intelligence artificielle dédiée à la supply chain,nan,nan,Logiciel et services informatiques,HEDOSOPHIA,nan,150-250 M€,2e tour,nan,,,,,,,,,,,,,
28 mai 2024,FULLWHERE,France |,Logiciel permettant d'optimiser les interactions avec les clients,nan,nan,Logiciel et services informatiques,KIMA VENTURES,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
28 mai 2024,RIALLIN,France |,Travaux d’équipements thermiques et de climatisation,nan,nan,Immobilier & construction,CEME,FONDATEUR(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
28 mai 2024,TAFALGIE THERAPEUTICS,France |,Biotech spécialisée dans la recherche d'un médicament non opioïde contre la douleur,nan,nan,nan,nan,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
28 mai 2024,UTSIT,France |,Cabinet de conseil spécialisé dans les systèmes d’information de trésorerie.,3.39,2023.0,Services & Conseil aux entreprises,OAKLEN CONSULTING (EX P...,MANAGER(S),0-20 M€,Build-up,n.d.,,,,,,,,,,,,,
28 mai 2024,ALSTOM,France |,Conception et fabrication de de matériel roulant et d'infrastructures ferroviaires (locomotives,16 500,2024.0,nan,EURONEXT (BOURSE),n.d.,>1000 M€,Emission obligataire,nan,,,,,,,,,,,,,
28 mai 2024,ESTATE PRESTIGE I KNIGHT FRANK,France |,Agence immobilière de luxe spécialisée dans les résidences haut de gamme,8,2022.0,Immobilier & construction,GLOBALITY,FONDATEUR(S),5-10 M€,M&A Corporate,0-20,,,,,,,,,,,,,
28 mai 2024,ACTIVITÉS B2C DE SIMPLYCURE (COMP...,Belgique |,Compléments alimentaires personnalisés,nan,nan,Internet & ecommerce,CUURE,SIMPLYCURE,0-20 M€,Carve-out,0-20,,,,,,,,,,,,,
28 mai 2024,GREENYELLOW,France |,Solutions B2B de réduction des dépenses énergétiques (production d'énergie photovoltaïques,300,2023.0,nan,ARDIAN (INFRASTRUCTURE),GROUPE CASINO,>1000 M€,Cession de titres,150-250,,,,,,,,,,,,,
28 mai 2024,ORUS ENERGY,France |,Plateforme de flexibilité énergétique,nan,nan,Logiciel et services informatiques,B2 VENTURE (EX B-TO-V P...,nan,5-10 M€,Amorçage (seed),nan,,,,,,,,,,,,,
28 mai 2024,FACON CUIR,France |,Atelier de fabrication de maroquinerie et sellerie,nan,nan,Textile,ARION SELLIER,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
27 mai 2024,SPIRII,Danemark |,Solutions de recharge pour véhicules électriques,nan,nan,Logiciel et services informatiques,EDENRED,NORDIC CAPITAL,50-150 M€,M&A (Int'l),n.d.,,,,,,,,,,,,,
27 mai 2024,LUMAPPS,France |,Portail collaboratif de centralisation de Google apps et d'applications internes,nan,nan,Logiciel et services informatiques,BRIDGEPOINT,EURAZEO GROWTH,500-1000 M€,LBO Primaire,nan,,,,,,,,,,,,,
27 mai 2024,ELECTRA,France |,"Stations de recharge ""ultra rapide"" pour véhicules électriques",nan,nan,nan,nan,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
27 mai 2024,LOCA PARC,France |,Loueur de camions pour le transport de marchandises,18.50,2023.0,nan,MAUFFREY,FONDATEUR(S),20-50 M€,Build-up,20-50,,,,,,,,,,,,,
27 mai 2024,RUBEL & MENASCHE,France |,Diamantaire : bijoux haut de gamme pour l'industrie de la joaillerie et pièces d'horlogerie,138,2023.0,Textile,PERWYN,AXIO CAPITAL,50-150 M€,MBO Ter,20-50,,,,,,,,,,,,,
27 mai 2024,UBLO,France |,Conception et commercialisation de machines d’emballages à haute cadence pour l’agroalimentaire et la cosmétique,nan,nan,Produits & Services industriels,SODERO (EX SODERO GESTION),nan,0-20 M€,Amorçage (seed),0-20,,,,,,,,,,,,,
27 mai 2024,CONSOTRUST,France |,Éditeur de logiciels Saas à destination des industriels et distributeurs pour automatiser l’acquisition,2.20,2023.0,Logiciel et services informatiques,AGENA3000 (AGENA 3000),FONDATEUR(S),0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
27 mai 2024,FRANCOISE SAGET,France |,Vente à distance de linge de maison,80,2023.0,nan,ATLAS FOR MEN,ROSA (EX-MK DIRECT (ENV...,20-50 M€,Build-up,20-50,,,,,,,,,,,,,
27 mai 2024,GRAND NORD AUTOMOBILE,France |,Vente de voitures neuves,60,2023.0,Automobile,VERBAERE (DEX FRANCE),MANAGER(S),0-20 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
26 mai 2024,ONAFIS (MY BACCHUS),France |,Solutions numériques pour garantir le meilleur suivi des vins,nan,nan,Electronique & Informatique,DEMETER (VOIR DEMA INVEST),nan,0-20 M€,2e tour,nan,,,,,,,,,,,,,
24 mai 2024,INHIBRX,États-Unis |,Développement du traitement INBRX-101 pour le traitement du déficit en alpha-1-antitrypsine (maladie héréditaire rare qui touche principalement les poumons),nan,nan,nan,SANOFI,NEW INHIBRX,>1000 M€,OPA,>1000,,,,,,,,,,,,,
24 mai 2024,CORFLEX,États-Unis |,Fabrication et distribution des solutions orthopédiques,11,2023.0,Produits Pharmaceutiques & matériel médical,THUASNE,FONDATEUR(S),0-5 M€,M&A (Int'l),0-5,,,,,,,,,,,,,
24 mai 2024,LES 3 COLONNES DU MAINTIEN AU DOM...,France |,Coopérative proposant une solution de viagers mutualisés accompagnée de services pour le maintien à domicile des personnes âgées,2.50,2023.0,nan,BANQUE DES TERRITOIRES,nan,n.d.,Augmentation de capital,nan,,,,,,,,,,,,,
24 mai 2024,STEEL ELECTRONIQUE (DIADEM INDUST...,France |,Équipementier spatial (systèmes électroniques),7,2022.0,Electronique & Informatique,ACTIA GROUP,FONDATEUR(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
24 mai 2024,LONSDALE GROUPE,France |,Agence de design,40,2023.0,Média,BNP PARIBAS DEVELOPPEMENT,nan,50-150 M€,Augmentation de capital,5-10,,,,,,,,,,,,,
24 mai 2024,FORCEMAJEURE DESIGN,États-Unis |,Agence de création,9,2023.0,Média,LONSDALE GROUPE,FONDATEUR(S),15-20 M€,Build-up international,15-20,,,,,,,,,,,,,
24 mai 2024,HEINKEL DRYING AND SEPARATION GROUP,Allemagne |,Conception,70,2023.0,Produits & Services industriels,DE DIETRICH PROCESS SYS...,ACTIONNAIRES HISTORIQUES,50-150 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
24 mai 2024,VERKOR,France |,Construction de batteries bas carbone,nan,nan,Environnement & CleanTechs,BANQUE EUROPEENNE D'INV...,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
23 mai 2024,QUALIRETRAITE,France |,Réseau d’agences d’accompagnement et de contrôle des retraites obligatoires pour salariés et retraités,3,2023.0,Services & Biens de consommation,IMPACT PARTNERS,nan,0-20 M€,Augmentation de capital,n.d.,,,,,,,,,,,,,
23 mai 2024,VORTEX-IO,France |,Fournisseur de données hydrométriques,0.70,2023.0,Electronique & Informatique,BANQUE DES TERRITOIRES,nan,10-15 M€,Amorçage (seed),nan,,,,,mesure en temps réel des paramètres hydrologiques clés des rivières et fleuves (hauteur d’eau,,,,,,,,
23 mai 2024,KEYNEO,France |,Éditeur d’un logiciel Saas de gestion des commandes,2.10,2023.0,Logiciel et services informatiques,GENERIX,FONDATEUR(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
23 mai 2024,ABILITY HANDLING,Royaume-Uni |,Vente,nan,nan,Produits & Services industriels,GRANT HANDLING (GHL LIF...,MANAGER(S),n.d.,M&A (à l'étranger),n.d.,,,,,,,,,,,,,
23 mai 2024,CLINIQUE LES TROIS SOLEILS,France |,Établissement de soins médicaux et de réadaptation spécialisé en médecine physique,nan,nan,Santé,GROUPE VYV,n.d.,n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
23 mai 2024,PRODUCTLIFE CONSULTING (PLG),France |,Gestion externalisée affaires réglementaires et pharmacovigilance pour les acteurs de la santé (laboratoires,167,2023.0,Santé,21 INVEST,21 INVEST,500 M€,Cession secondaire,n.d.,,,,,,,,,,,,,
23 mai 2024,MILLICOM INTERNATIONAL CELLULAR,Luxembourg |,Société télécommunication et de téléphonie mobile.,nan,nan,Média,NJJ CAPITAL,n.d.,>1000 M€,Cession de titres,nan,,,,,,,,,,,,,
23 mai 2024,EFECTIS,France |,Mise en place de tests sur la résistance au feu de produits et d'évaluation des risques d’incendie et d’explosion de produits ou de sites (notamment dans le nucléaire),40,2023.0,Services & Conseil aux entreprises,CTICM (CENTRE TECHNIQUE...,FIRST DUTCH INNOVATION ...,20-50 M€,LBO Primaire,20-50,,,,,,,,,,,,,
23 mai 2024,MYCOMPANYFILES,France |,Plateforme digitale pour les cabinets d'expertise comptable,3.50,2023.0,Logiciel et services informatiques,VISMA,FONDATEUR(S),0-20 M€,Build-up international,0-5,,,,,,,,,,,,,
23 mai 2024,PROPOLIS DEVELOPPEMENT,France |,Holding d'investissement dans la distribution.,277,2023.0,nan,GRINTA (RELAIS VERT,MANAGER(S),150-250 M€,Fusion,150-250,,,,,,,,,,,,,
23 mai 2024,VINS ETONNANTS,France |,Distribution directe de vin,2,2023.0,Internet & ecommerce,LES GRAPPES,FONDATEUR(S),0-20 M€,M&A Corporate,n.d.,,,,,,,,,,,,,
23 mai 2024,SKWHEEL,France |,Producteur de skis électriques à roues,nan,nan,Electronique & Informatique,BPIFRANCE INVESTISSEMENT,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
23 mai 2024,MATIS ART CLUB DEALS,France |,Investissement dans l'art contemporain,2,2023.0,nan,ALPHASTAR,nan,15 M€,Augmentation de capital,nan,,,,,,,,,,,,,
22 mai 2024,TWISE,France |,Concepteur de solutions logicielles pour la télévision payante (clés USB miniaturisant les décodeurs actuels,nan,nan,Logiciel et services informatiques,PROVENCE BUSINESS ANGELS,nan,0-5 M€,1er tour,nan,,,,,,,,,,,,,
22 mai 2024,AARON,Allemagne |,Service en ligne d'assistance téléphonique alimenté par l'IA et de prise de rendez-vous chez des professionnels de santé,12.50,2023.0,Internet & ecommerce,DOCTOLIB,FONDATEUR(S),23 M€,M&A (Int'l),nan,,,,,,,,,,,,,
22 mai 2024,IKO&NOTT (CYBELE),France |,La société conçoit des baskets certifiées 100 % en cuir recyclé et recyclables.,nan,nan,Services & Biens de consommation,nan,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
22 mai 2024,SERAPID,France |,Fabrication de vérins industriels,nan,nan,Produits & Services industriels,nan,n.d.,n.d.,Refinancement,nan,,,,,,,,,,,,,
22 mai 2024,AXIALEASE,France |,Leaseur financier d’équipements d'informatique et télécommunication,80,2023.0,nan,MANULOC,FONDATEUR(S),50-150 M€,Build-up,n.d.,,,,,,,,,,,,,
22 mai 2024,HIBIO (HI BIO),États-Unis |,Développement de thérapies de précision à base d'anticorps pour les patients souffrant de maladies auto-immunes,nan,nan,nan,BIOGEN,JEITO CAPITAL,1 150 M€,M&A (Int'l),nan,,,,,,,,,,,,,
22 mai 2024,TRINITY STREET ASSET MANAGEMENT,Royaume-Uni |,Société de gestion qui gère des portefeuilles investis en actions mondiales et internationales (mondiales hors Etats Unis,nan,nan,nan,IM GLOBAL PARTNER (EX I...,n.d.,n.d.,Minoritaire,n.d.,,,,,,,,,,,,,
22 mai 2024,BEEBS,France |,Place de marché communautaire de produits de seconde main liés à l'univers de l'enfance (textiles,nan,nan,Internet & ecommerce,KIABI,FONDATEUR(S),0-20 M€,Retournement,0-20,,,,,,,,,,,,,
22 mai 2024,DECORS ET COMPAGNIE,France |,Concepteur,2,2023.0,Textile,MATCHEVENT,FONDATEUR(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
22 mai 2024,HAUTLINE,France |,expert de l’industrie,2,2023.0,Immobilier & construction,GROUPE JARNIAS,n.d.,0-20 M€,Build-up,0-20,,,,,,,,,,,,,
22 mai 2024,THERMO 2 S,France |,Spécialiste des solutions en films thermorétractables pour la réalisation de chantiers partout en France,0.13,2023.0,Immobilier & construction,GROUPE JARNIAS,n.d.,n.d.,Build-up,n.d.,,,,,,,,,,,,,
22 mai 2024,EALIS,France |,Service après vente et extension garantie d'appareils électroniques,nan,nan,Services & Conseil aux entreprises,nan,n.d.,n.d.,Sponsorless,n.d.,,,,,,,,,,,,,
21 mai 2024,HARVEST,France |,Éditeur de logiciels pour les professionnels du patrimoine,70,2023.0,Logiciel et services informatiques,TA ASSOCIATES,FIVE ARROWS (ROTHSCHILD...,500 M€,LBO Bis,n.d.,,,,,,,,,,,,,
21 mai 2024,ONESTOCK,France |,Logiciel d’unification des stocks et d’orchestration de commandes (Order Management System) à destination professionnels de la vente,nan,nan,Logiciel et services informatiques,SUMMIT PARTNERS,SILVERFLEET CAPITAL,50-150 M€,Augmentation de capital,nan,,,,,,,,,,,,,
21 mai 2024,TSM (TRAITEMENTS DE SURFACE ET ME...,France |,Traitements de surface et des opérations mécaniques associées,5,2023.0,Produits & Services industriels,ALFEOR,MANAGER(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
21 mai 2024,INSTITUT SUPERIEUR DE COMMERCE DE...,France |,École de management,5,2023.0,Services & Biens de consommation,OMNES EDUCATION (EX-INS...,MANAGER(S),0-20 M€,Build-up,n.d.,,,,,,,,,,,,,
21 mai 2024,TRONICO,France |,Concepteurs et fabricants de produits et de cartes électroniques,82,2022.0,Electronique & Informatique,AGÔN ELECTRONICS (FEDD,ALCEN,n.d.,Build-up,n.d.,,,,,,,,,,,,,
21 mai 2024,DEEMEA,France |,Plateforme d'imagerie médicale,1.10,2023.0,nan,KARISTA (EX CAPDECISIF ...,nan,0-20 M€,Amorçage (seed),nan,,,,,,,,,,,,,
21 mai 2024,ALPHA GROUP (ALPHA SERVICES),France |,Travaux d’étanchéité de toitures,70,2023.0,Immobilier & construction,RAISE,IXO PRIVATE EQUITY,50-150 M€,LBO Bis,n.d.,,,,,,,,,,,,,
21 mai 2024,BELLEDONNE,France |,Marque française de sneakers d'exception,nan,nan,Textile,CUIR INVEST (CUIRINVEST...,nan,n.d.,1er tour,nan,,,,,,,,,,,,,
21 mai 2024,H COMPANY (HCOMPANY.AI),France |,Développement IA générative qui ambitionne d'être la base de futurs outils d'IA autonomes en entreprise,nan,nan,Logiciel et services informatiques,ACCEL PARTNERS,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
21 mai 2024,LES ATELIERS DE LA MEUSE,Belgique |,Chaudronnerie et usinage de grande dimensions destinés à la fabrication d’emballages de combustible nucléaire usagé.,10,2023.0,Produits & Services industriels,ALFEOR,MANAGER(S),0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
21 mai 2024,DA&T (DÉBITMETRIE AÉRONAUTIQUE & ...,France |,Société spécialisée dans la débitmétrie liquide à destination de l’industrie aéronautique et des transports.,2,2023.0,Services & Conseil aux entreprises,TRESCAL,MANAGER(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
21 mai 2024,RM CONSEIL,France |,Cabinet de conseil à impact positif,1.80,2022.0,Services & Conseil aux entreprises,FORWARD GLOBAL,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
21 mai 2024,L'AGENCE DE FAB,France |,Imprimeur numérique grand format,4.20,2023.0,Services & Biens de consommation,LEADER PRINT GROUP,MANAGER(S),n.d.,Build-up,n.d.,,,,,,,,,,,,,
21 mai 2024,KOEZIO (INQUEST),France |,Organisations d'évènements festifs pour particuliers et entreprises.,17,2023.0,Tourisme,HADRENA (EX OTIUM LEISURE),GENAIRGY,20-50 M€,Build-up,20-50,,,,,,,,,,,,,
21 mai 2024,4J CHAUDRONNERIE,France |,Conception et réalisation d'appareils chaudronnés,2,2023.0,Produits & Services industriels,FACOMIA,MANAGER(S),0-5 M€,Retournement,nan,,,,,,,,,,,,,
21 mai 2024,ACTIVITÉ VRAC D'ABCD NUTRITION (M...,France |,Activité de vente en vrac d'ABCD Nutrition dont ligne d’enrobage de céréales,3.50,2023.0,nan,COMPAGNIE LÉA NATURE (L...,ABCD NUTRITION (BIOTHEN...,0-20 M€,Build-up,0-20,,,,,,,,,,,,,
21 mai 2024,AIREX ÉNERGIE,Canada |,Producteur de Biochar,nan,nan,nan,SUEZ,MANAGER(S),n.d.,Augmentation de capital,n.d.,,,,,,,,,,,,,
21 mai 2024,OST-DEVELOPPEMENT,France |,Laboratoire spécialiste régénération osseuse,nan,nan,Santé,GEISTLICH PHARMA,MANAGER(S),20-50 M€,M&A (Int'l),0-20,,,,,,,,,,,,,
21 mai 2024,SUBECA,États-Unis |,Développement de solutions pour les compteurs d’eau intelligents,nan,nan,Internet & ecommerce,SUEZ,nan,n.d.,1er tour,0-20,,,,,,,,,,,,,
21 mai 2024,LIVEARTS,France |,Plateforme de référence des établissements seniors pour la réservation de spectacles,nan,nan,Internet & ecommerce,nan,nan,0-5 M€,Amorçage (seed),nan,,,,,,,,,,,,,
18 mai 2024,PHYTEMA,France |,Soins cosmétiques bio et naturels.,0.73,2023.0,Santé,EMALEXANCE,MANAGER(S),0-5 M€,Build-up,0-5,,,,,,,,,,,,,
17 mai 2024,PROCORI,Suède |,Cabinet de conseil ServiceNow,5,2023.0,Logiciel et services informatiques,DEVOTEAM,FONDATEUR(S),0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
17 mai 2024,FLORMAR,Turquie |,Produits cosmétiques,100,2023.0,Santé,ESAS HOLDING,GROUPE ROCHER,n.d.,Augmentation de capital,n.d.,,,,,,,,,,,,,
17 mai 2024,CONTINUITY,France |,Logiciel Saas d’intelligence artificielle analysant l'adéquation entre un contrat d'assurance et les PME couvertes,nan,nan,Logiciel et services informatiques,115 K,nan,20-50 M€,1er tour,nan,,,,,,,,,,,,,
17 mai 2024,SIRONA TECHNOLOGIES,Belgique |,Élimination du CO 2 de l'air et lutte contre le changement climatique,nan,nan,Environnement & CleanTechs,LOCAL GLOBE,nan,20-50 M€,Amorçage (seed),nan,,,,,,,,,,,,,
17 mai 2024,EPSILON COMPOSITE,France |,Production de joncs en fibre de carbone,30,2023.0,Produits & Services industriels,SUMITOMO CORPORATION,FONDATEUR(S),n.d.,Minoritaire,n.d.,,,,,,,,,,,,,
17 mai 2024,HECQUET JOSE,France |,Services funéraires,nan,nan,Services & Biens de consommation,FUNECAP,n.d.,0-20 M€,Build-up,0-20,,,,,,,,,,,,,
17 mai 2024,GROUPE SODEPOL (SODEPOL,France |,Désamiantage,9,2023.0,Immobilier & construction,POLYGON GROUP,MANAGER(S),0-20 M€,Build-up international,0-20,,,,,,,,,,,,,
17 mai 2024,CLARIANE (EX KORIAN),France |,Exploitant privé d'établissements médico-sociaux et sanitaires,5 047,2023.0,Santé,GROUPE HLD,nan,4 000 M€,Augmentation de capital,250-500,,,,,,,,,,,,,
17 mai 2024,APPLITECH,France |,Bureau d’études dans l’efficacité énergétique des bâtiments pour le secteur tertiaire et l’industrie : conception et réalisation d'installations de génie climatique et électrique,7,2023.0,nan,M-ENERGIES,FONDATEUR(S),5-10 M€,Build-up,n.d.,,,,,,,,,,,,,
17 mai 2024,EYCO,France |,Production de microcircuits imprimés.,nan,nan,Electronique & Informatique,BPIFRANCE INVESTISSEMENT,nan,20-50 M€,Amorçage (seed),nan,,,,,,,,,,,,,
16 mai 2024,TLW,Luxembourg |,Transport et logistique,60,2023.0,nan,MALHERBE,MANAGER(S),n.d.,Build-up international,n.d.,,,,,,,,,,,,,
16 mai 2024,TEAM FOR THE PLANET (EX TIME FOR ...,France |,Fonds d'investissement citoyen,nan,nan,nan,ADEME INVESTISSEMENT,nan,n.d.,Augmentation de capital,nan,,,,,,,,,,,,,
16 mai 2024,SPLE,France |,Prestataire logistique : services de stockage,3.20,2023.0,nan,LOG'S (EX LOGISTIQUE GR...,GROUPE PATOUX,0-5 M€,M&A Corporate,0-5,,,,,,,,,,,,,
16 mai 2024,ENERDIGIT,France |,Fournisseur de solutions d’effacement électrique (optimisation de la consommation d'électricité),20,2023.0,nan,CAISSE D'EPARGNE BRETAG...,n.d.,n.d.,Financement,nan,,,,,,,,,,,,,
16 mai 2024,VERALI,France |,Entretien de la végétation pour le compte de gestionnaires d’infrastructures,19,2023.0,Environnement & CleanTechs,CAP VERT DEVELOPPEMENT,MANAGER(S),0-20 M€,Build-up,0-20,,,,,,,,,,,,,
16 mai 2024,ELYSIS CONSULTING,France |,Conseil en pilotage et en maîtrise de projets d'ingénierie et de développement produit pour l’industrie,17.60,2023.0,Services & Conseil aux entreprises,ASTEK,IRD INVEST,15-20 M€,Build-up,15-20,,,,,,,,,,,,,
16 mai 2024,YES WE HACK (YESWEHACK),France |,Plateforme de cybersécurité et Bug Bounty,nan,nan,Logiciel et services informatiques,WENDEL,nan,50-150 M€,3e tour,nan,,,,,,,,,,,,,
16 mai 2024,ENERDIGIT,France |,Fournisseur de solutions d’effacement électrique (optimisation de la consommation d'électricité),20,2023.0,nan,RING CAPITAL,FONDATEUR(S),50-150 M€,Augmentation de capital,nan,,,,,,,,,,,,,
16 mai 2024,OSMOZIS,France |,Fournisseur d'accès Internet pour les vacanciers en campings et centres de vacances,12.70,2023.0,Média,PASSMAN,EIFFEL INVESTMENT GROUP,n.d.,OPA,n.d.,,,,,,,,,,,,,
16 mai 2024,ZELIQ,France |,Solution logicielle et commerciale tout-en-un permettant aux équipes commerciales d’identifier les prospects et de les transformer en clients,nan,nan,Logiciel et services informatiques,EXOR,nan,20-50 M€,1er tour,nan,,,,,,,,,,,,,
16 mai 2024,THE FRENCH BASTARDS,France |,Boulangerie premium,10,2023.0,nan,EXPERIENCED CAPITAL PAR...,nan,0-20 M€,Augmentation de capital,5-10,,,,,,,,,,,,,
16 mai 2024,MON PETIT PLACEMENT,France |,Plateforme démocratisant l'accès aux placements financiers,1.40,2023.0,nan,SOWEFUND,nan,20-50 M€,4e tour,nan,,,,,,,,,,,,,
16 mai 2024,CARMAT,France |,Concepteur de cœurs artificiels,2.80,2023.0,Produits Pharmaceutiques & matériel médical,nan,nan,50-150 M€,Augmentation de capital,nan,,,,,,,,,,,,,
16 mai 2024,HEPHAISTOS-PHARMA,France |,Recherche et développement d’une nouvelle génération d’immunostimulants ciblant l’immunité innée,nan,nan,nan,ELAIA PARTNERS,nan,n.d.,Amorçage (seed),nan,,,,,,,,,,,,,
16 mai 2024,MY VELO,France |,Enseigne de magasins de vélos,nan,nan,Services & Biens de consommation,ZERIDE (FRIZY),MANAGER(S),n.d.,M&A Corporate,n.d.,,,,,,,,,,,,,
16 mai 2024,GENERALE ENERGIE,France |,Travaux de rénovation énergétique du bâtiment,75,2023.0,Immobilier & construction,SOCADIF,VERTIGO,50-150 M€,LBO Primaire,n.d.,,,,,,,,,,,,,
16 mai 2024,ENERGO,France |,Conception et développement d'un réacteur catalytique à plasma froid permettant de transformer du CO₂,nan,nan,nan,CREDIT MUTUEL IMPACT (E...,nan,20-50 M€,1er tour,nan,,,,,,,,,,,,,
15 mai 2024,TENGO,France |,Identification,nan,nan,Logiciel et services informatiques,POINT NINE CAPITAL (POI...,nan,10-15 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 mai 2024,CARACTERE IMPRIMEURS,France |,Imprimerie spécialisée dans les magazines,11.50,2023.0,Produits & Services industriels,CONNECT PRO,CONNECT PRO,15-20 M€,MBO Bis,0-20,,,,,,,,,,,,,
15 mai 2024,OSS VENTURES,France |,Startup studio spécialisé dans le lancement d'éditeurs de solutions technologiques destinées aux industriels,nan,nan,nan,ETABLISSEMENTS PEUGEOT ...,nan,20-50 M€,2e tour,nan,,,,,,,,,,,,,
15 mai 2024,COGNITIVE ENGINES,France |,Spécialiste de la cobotique,nan,nan,Electronique & Informatique,BUSINESS ANGELS DES GRA...,nan,1.80 M€,Amorçage (seed),nan,,,,,,,,,,,,,
15 mai 2024,DIRECTOSANTE,France |,"Solutions de e-santé permettant de fluidifier le ""parcours patient""",nan,nan,Logiciel et services informatiques,CALMEDICA,FONDATEUR(S),0-5 M€,Retournement,nan,,,,,,,,,,,,,
15 mai 2024,OPTIMIZERS,Pays-Bas |,Éditeur de logiciels proposant des solutions e-commerce B2B et B2C,25,2023.0,Logiciel et services informatiques,ORISHA,MANAGER(S),50-150 M€,Build-up international,n.d.,,,,,,,,,,,,,
