title,content,date
Acquisition : Albarest Partners structure la transmission de l’expert en entretien de filtres à particules OPTYM-HA,"Dans le cadre de son premier buy-out, OPTYM-HA (5,6 M€ de CA en 2022, Auvergne-Rhône-Alpes / FRA), société spécialisée dans le nettoyage, la régénération et la maintenance de filtres à particules (FAP) et de catalyseurs pour véhicules et équipements industriels, offrant également des services d'échange standard et de pièces de rechange, accueille Albarest Partners à son capital. À travers son fonds Albacap I, qui signe son dernier investissement, Albarest prend le contrôle de 75 % de l’entreprise, tandis que le fondateur Fabien Sikirdji en conserve les 25 % restants. Cette opération est soutenue par une dette senior fournie par Crédit Agricole Sud Rhône-Alpes, Caisse d'Épargne Rhône-Alpes et La Banque Postale (presse)",26/11/2024
Cession : La plateforme de gestion de l'innovation Bloomflow prend le contrôle d’Agorize,"Bloomflow (Île-de-France / FRA), plateforme de gestion de l'innovation conçue pour aider les grandes entreprises à prospérer dans un environnement commercial en constante évolution, a acquis Agorize (Île-de-France / FRA) , plateforme de challenges d'open innovation en ligne qui permet aux jeunes innovateurs (étudiants, développeurs et startups) de se faire connaître par les grandes entreprises et les investisseurs. Dans le cadre de cet accord de fusion-acquisition, les investisseurs historiques d'Agorize, incluant Iris Capital, Creadev et Arkéa Capital, signent leur sortie (Bloomflow, communiqué de presse)",26/11/2024
"Autre : L'éditeur de logiciels de gestion et d'optimisation énergétique METRON lève 12,5 M€","METRON (Île-de-France / FRA), éditeur de logiciels qui développe une solution SaaS pour la gestion et l'optimisation énergétique du secteur industriel, lève 12,5 M€ dans un tour de table dirigé par GET Fund, avec la participation des investisseurs historiques BNP Paribas, Climate Investment et Vertigo. Ce financement permettra à METRON d'accélérer sa stratégie de croissance mondiale, de se développer dans des régions clés comme l'Europe et l'Asie du Sud-Est, et de soutenir les projets de décarbonisation industrielle tout en visant la rentabilité d'ici 2025. À noter que METRON est également soutenu par Financière Fonds Privés (METRON, communiqué de presse)",25/11/2024
Build-up : Syclef acquiert la société de génie climatique ClimaSet,"Détenue majoritairement par Ardian et soutenue par Cerea Partners et CIC Private Debt, Syclef (292 M€ de CA en 2023, Provence-Alpes-Côte d'Azur / FRA), société qui conçoit, installe et assure la maintenance d’équipements de réfrigération et de climatisation dans les secteurs de la distribution et de l'industrie agroalimentaire, acquiert ClimaSet (13 M€ de CA en 2023, Grand Est / ENG), entreprise spécialisée dans les travaux d'installation d'équipements thermiques et de climatisation. L'acquisition de ClimaSet devrait permettre à Syclef de développer de nouvelles opportunités de croissance et de répondre aux attentes du marché (presse)",25/11/2024
Build-up : Resilience acquiert l’entreprise d’intelligence artificielle Gimli,"Soutenu par Cathay Capital et Seaya Ventures, Resilience (Île-de-France / FRA), développeur et fournisseur d’applications mobiles permettant la télésurveillance et le suivi thérapeutique des patients atteints de cancer, mais permettant aussi aux patients d’être informés sur les caractéristiques de leur maladie, annonce l’acquisition de Gimli (Auvergne-Rhône-Alpes / FRA), société spécialisée dans l'intelligence artificielle et la structuration des données médicales, particulièrement en oncologie. Cette acquisition permettra à Resilience de proposer des solutions encore plus adaptées aux établissements de santé, tout en accélérant la recherche clinique et les innovations thérapeutiques (Resilience, communiqué de presse)",25/11/2024
Cession : Leetchi et iRaiser unissent leurs forces sous le nouveau groupe Donora,"21 Invest devient actionnaire majoritaire de la nouvelle holding Donora, formée par la fusion de Leetchi (Île-de-France / FRA), société éditrice de solutions de paiement en ligne, avec iRaiser (9,5 M€ de CA en 2023, Pays de la Loire / FRA), entreprise spécialisée dans la collecte de fonds. Advent International Corporation, actionnaire majoritaire de Leetchi depuis 2022, continuera à investir dans Donora. Quant à iRaiser, elle a été soutenue auparavant par Impact Partners et Generis Capital Partners (presse)",25/11/2024
Autre : La société de services de cybersécurité I-Tracing réorganise son capital,"Eurazeo annonce avoir levé un fonds de continuation de 180 M€ pour soutenir la prochaine phase de développement de I-Tracing (c. 115 M€ de CA en 2023, Île-de-France / FRA), société de conseil technique, d'ingénierie et de services opérés spécialisée dans le domaine de la sécurité et de la traçabilité de l'information numérique. Dans le cadre de cette opération, Oakley Capital rejoint Eurazeo en co-contrôle au capital d'I-Tracing, tandis que Sagard réinvestit aux côtés des fondateurs et de l'équipe de direction, renforçant ainsi sa participation et son engagement envers la société. Grâce au partenariat stratégique avec Eurazeo, Oakley Capital, Sagard et d'autres investisseurs clés, I-Tracing vise à accélérer sa croissance pour devenir un leader européen de la cybersécurité, en s'appuyant sur de nouvelles ressources financières pour mettre en œuvre une stratégie d'expansion organique et d'acquisitions. Pour rappel, Eurazeo et Sagard ont initialement investi dans I-Tracing en 2021 (Eurazeo, communiqué de presse)",25/11/2024
Acquisition : Crédit Mutuel Equity investit dans le fabricant de composants de raccordement de tuyauteries SERTO Group,"Crédit Mutuel Equity annonce l’acquisition d'une participation minoritaire dans SERTO Group (Suisse Orientale / CHE), société qui fabrique une gamme de composants de raccordement de tubes, de vannes, d'accessoires de plomberie et de produits de finition utilisés dans une variété d'applications et de secteurs, notamment la haute technologie, les soins de santé, l'énergie, les transports et l'industrie. Cette opération s’inscrit dans un plan de succession orchestré par EGS Beteiligungen AG, qui a pris la majorité du capital de SERTO en février 2024 pour assurer la continuité des opérations après le retrait des deux principaux actionnaires de la société (Crédit Mutuel Equity, communiqué de presse)",25/11/2024
Acquisition : Seven2 acquiert le cabinet de gestion de patrimoine Olifan Group,"Seven2 annonce l’acquisition d'une participation majoritaire dans Olifan Group (20 M€ de CA en 2023, Normandie / FRA), société qui fournit des conseils en gestion de patrimoine tant au niveau national qu'à l'international, en investissement financier, en ingénierie immobilière, en retraite et prévoyance, et accompagne également les intervenants tutélaires ainsi que les tuteurs familiaux dans le domaine de la gestion de patrimoine. La transaction permet la sortie de BlackFin Capital Partners, actionnaire minoritaire d’Olifan Group depuis 2021. Cet investissement stratégique vise à soutenir la croissance d'Olifan Group en renforçant son offre de services et en élargissant son empreinte géographique à travers une stratégie de croissance organique et externe (Seven2, communiqué de presse)",25/11/2024
Cession : Seven2 acquiert le cabinet de gestion de patrimoine Olifan Group,"Seven2 annonce l’acquisition d'une participation majoritaire dans Olifan Group (20 M€ de CA en 2023, Normandie / FRA), société qui fournit des conseils en gestion de patrimoine tant au niveau national qu'à l'international, en investissement financier, en ingénierie immobilière, en retraite et prévoyance, et accompagne également les intervenants tutélaires ainsi que les tuteurs familiaux dans le domaine de la gestion de patrimoine. La transaction permet la sortie de BlackFin Capital Partners, actionnaire minoritaire d’Olifan Group depuis 2021. Cet investissement stratégique vise à soutenir la croissance d'Olifan Group en renforçant son offre de services et en élargissant son empreinte géographique à travers une stratégie de croissance organique et externe (Seven2, communiqué de presse)",25/11/2024
Build-up : LRT Group rejoint le fabricant d'équipements post-mortem Hygeco,"Détenu par Abenex, Hygeco (Île-de-France / FRA), entreprise spécialisée dans les soins de conservation des corps, qui s’occupe également de la fabrication d’équipements post-mortem et la distribution de produits funéraires, a acquis Leslie R. Tipping Group (LRT Group) (Nord-Ouest / ENG), fournisseur d'équipements et d'accessoires funéraires. Hygeco poursuit ainsi sa stratégie de croissance et d'innovation, lui permettant d'étendre sa présence en Europe, avec des opérations renforcées en France, en Allemagne, en Espagne et maintenant au Royaume-Uni (Abenex, communiqué de presse)",25/11/2024
"Build-up : Babilou acquiert le réseau de crèches situé dans l'île de la Réunion, Crèche and Go","Soutenue par TA Associates Management et RAISE, Babilou (c. 780 M€ de CA en 2022, Île-de-France / CA), société spécialisée dans la création et la gestion de crèches d'entreprise et de crèche pour les collectivités, acquiert Crèche and Go (La Réunion / FRA), réseau de crèches et micro-crèches situé principalement dans l'île de la Réunion qui accueille des enfants âgés de 3 mois à 3 ans, avec des services adaptés aux besoins des familles, y compris des solutions d'accueil occasionnel ou régulier. Grâce à cette acquisition, Babilou confirme son ambition de croissance et sa volonté d'adapter ses services aux besoins spécifiques des régions où il est implanté (presse)",22/11/2024
Build-up : Antelec acquiert le distributeur de composants électroniques Addistronic,"Détenue majoritairement par Isatis Capital, Antelec (10 M€ de CA en 2022, Île-de-France / FRA), société qui conçoit et fabrique des connecteurs, cordons, câbles et d'autres composants d'interconnexion pour le secteur de l'électronique professionnelle, acquiert Addistronic (Île-de-France / FRA), entreprise spécialisée dans la distribution de composants électroniques et de systèmes de câblage pour les professionnels de l'électronique, les ingénieurs et les entreprises recherchant des solutions innovantes pour leurs projets technologiques. Cette acquisition permet à Antelec d'enrichir son portefeuille, d'augmenter ses capacités de production et d'ouvrir de nouvelles perspectives commerciales, tant en France qu'à l'international (Isatis Capital, communiqué de presse)",22/11/2024
